Name,Category,Description,Latitude,Longitude
"Tisleifjorden northwest shore (wild camp, Stølsvidda)",Sleep,"freecamp: Open mountain pasture (utmark) along the Mjølkevegen gravel road at the north end of Tisleifjorden (lake centre geocodes to 60.856, 8.947), roughly 1-2 km south of Langestølen. Treeless stølsvidda at ~820m with flat grassy shoreline pitches and lake water. Legal under allemannsretten: stay 150m+ from the stølar and cabins clustered at Langestølen, max 2 nights, and note Norway's general open-fire ban runs to 15 Sep. Riding 13 km past Vaset to camp here shortens the next day's stage to Gol. Closer alternative if you want to stay at Vaset itself: the lakeshore at Vasetvatnet is mostly ringed by cabins, so the paid campsite is the better option in the village. [Free | No booking. Carry water treatment or boil; lake and stream water.]",60.866,8.94
Vaset Camping (Vasetsenteret),Sleep,"campsite: Family-run campsite directly behind the Joker/Vasetsenteret at Vaset centre, ~800m altitude. Accepts tents plus ~70 motorhome pitches; showers (extra charge), toilets, guest kitchen (oven, 2 hotplates), laundry, WiFi. Check-in via the Joker supermarket (shared phone 61 36 30 55 and email joker.vaset@joker.no), which keeps long hours including Sunday. No rental cabins at the campsite itself (the similarly named Vasetdansen Camping with cabins is a different site in Tisleidalen, off your route, do not confuse them). Confirmed open year-round (1 Jan-31 Dec listing). [Tent pitch roughly 150-250 NOK (an older camper report cites 100 NOK/night, so expect modest), showers extra | Drop-in fine for tents, even in mid-July; check in at Joker Vaset.]",60.9962,8.9905
Vasetstølen Hytter,Sleep,"cabin: Eight fully equipped cabins sleeping 4-9 persons each (per the official site, June 2026; older listings said nine cabins/65 beds), set in the historic farm courtyard near Vasetvatnet with the traditional restaurant on site, so dinner and breakfast are sorted without riding anywhere. Listed Mjølkevegen accommodation; cyclists explicitly welcomed. Open 1 June to 10 Oct. The charm pick if you want a roof and the best food at Vaset in one stop. [Price on request (small cabins typically ~1,200-1,800 NOK); phone +47 61 36 33 50 or +47 91 15 57 95 | Book ahead for mid-July (Norwegian holiday season); cabins sell out on summer weekends.]",60.9934,8.9774
Gomobu Fjellstue,Sleep,"hotel: Family-owned mountain lodge at ~1,000m above Vaset on Valtjednvegen (toll road, ~40 NOK access fee, card accepted), 36 refurbished rooms plus 10 large cabins (3 bedrooms, private sauna). Official Mjølkevegen partner with ski/bike storage and bike rental. Restaurant serves traditional Norwegian dinner with local ingredients; non-guests can eat if they book ahead. Eco-Lighthouse certified. The comfort option: hot meal, sauna, real bed. Bookable on Booking.com with 2026 rates live. [~1,400-2,000 NOK per double incl breakfast | Book ahead for mid-July; it fills with hikers and Mjølkevegen riders. +47 61 35 77 10.]",60.9807,8.9859
Gol Bakeri og Konditori,Eat & drink,"bakery: Traditional Hallingdal bakery with two outlets in town (main at Sentrumsvegen 11, branch at Sentrumsvegen 114). Old-school methods, big counter of fresh bread, cakes, buns and ice cream; lots of seating, ~80 seats at the main outlet. The obvious morning stop before rolling out toward Geilo. Hours (verified on golbakeri.no): main Mon-Fri 09:00-16:00, Sat 09:00-15:00; branch Mon-Fri 09:00-17:00, Sat 09:00-16:00. BOTH CLOSED SUNDAYS, so no bakery breakfast on 12 July. [Coffee + bun ~60-90 NOK]",60.70145,8.96685
Kjersti's Mat og Vinhus,Eat & drink,"restaurant: The best sit-down food in Gol centre (Sentrumsvegen 65). Cafe by day (soups, sandwiches, salads, cakes baked in-house daily), a la carte in the evening with a dry-aging cabinet for steaks; summer terrace. Tripadvisor 3.8/5, #2 of 17 in Gol; reviews praise the dry-aged entrecote, some find portions small for the price. WARNING: listed hours are Mon-Thu 11:00-20:00, Fri-Sat 11:00-22:00, i.e. CLOSED SUNDAYS. Do not plan on it for a Sunday 12 July dinner; call +47 954 84 216 to check for summer exceptions. [Mains ~250-450 NOK]",60.70129,8.94976
Erik's Grill & Sportsbar (Pers Hotell),Eat & drink,"pub: Informal grill and sports bar inside the Pers Hotell complex, Sentrumsvegen 72 (some listings give Dalevegen 1, same building block). Burgers including an Impossible Burger, a la carte grill menu, beer on tap, Premier League and F1 on screens, piano bar with live music on weekends. Best bet for a post-ride dinner on a Sunday evening when much else in Gol is shut (hotel kitchen, but exact Sunday hours not published; the hotel's main restaurant serves dinner daily as fallback). Note: bar and grill have a 20+ age minimum, children only when accompanying adults. [Burgers/mains ~200-350 NOK]",60.70057,8.94812
Bistro at First Camp Gol - Hallingdal,Eat & drink,"restaurant: On-site bistro at the First Camp campsite (Heradvegen 189), indoor and outdoor seating, rustic simple meals from snacks to spareribs and plaice, beer and wine. Open during reception hours (typically 08:00-19:00 outside peak weeks), so plan an early dinner. Only worth it if you sleep at First Camp; saves the 3 km ride back into the centre. Site and bistro confirmed operating for the summer 2026 season. [Mains ~180-300 NOK]",60.69986,9.00517
Kiwi Gol,Resupply (groceries),"grocery: Main resupply point, Sentrumsvegen 96 at the west end of the centre (on your way out toward Geilo). Confirmed OPEN SUNDAYS 09:00-21:00 (tourist-town exemption), so the Sunday 12 July closure problem does not bite in Gol. Weekdays 07:00-23:00, Sat 09:00-21:00. Gol is the biggest shopping town between Fagernes and Geilo: stock up here. There is also an Extra supermarket at Sentrumsvegen 128 as backup. [n/a]",60.70151,8.94215
Wild camp: Golsfjellet heather plateau near Kamben,Sleep,"freecamp: The Hallingdal valley floor around Gol is fenced farmland (innmark), so legal wild camping in town is effectively impossible. Instead, stop on the open heather-and-birch plateau around Kamben on Golsfjellet (Kamben hamlet verified at 60.802, 8.979), just off the Mjolkevegen gravel road about 10 km / 550 vertical metres before the final descent into Gol. Utmark, allemannsretten applies; pitch 150 m+ off the road and away from the Kamben hamlet buildings and stol (summer farm) fences. Small tarns and streams for water, big views back over the plateau. Bikepacking.com's 'Of Milk and Navvies' route (Mjolkevegen + Rallarvegen) passes this exact stretch into Gol. Then it is a fast freewheel into Gol; remember the bakery is shut if it is Sunday. [Free | No booking. Avoid pitching inside summer-farm grazing enclosures; livestock roam freely up here.]",60.7995,8.972
Personbråten Camping,Sleep,"campsite: Small family-run campsite on the bank of the Hallingdalselva (Rotneimsvegen 48), confirmed open year-round (ACSI: 1 Jan-31 Dec). 15 min walk to the centre and on the WEST side of town, i.e. zero backtrack when you leave for Geilo. 60-70 pitches with power; river swimming on site and Gol's main Mobrua swimming spot 120 m away. Sources conflict on huts: norcamp says no cabins, visitnorway mentions a few mobile bungalows for rent, so treat it as tent/van only. Some road and railway noise. GPS verified against norcamp listing. [Solo tent likely ~150-250 NOK; ACSI comparison price ~€34/night for pitch + 2 adults + car; van pitch 350 NOK incl. power (Aug 2025) | No advance booking needed for a tent, even mid-July; turn up and pitch. Phone +47 915 51 429 if in doubt.]",60.69182,8.91931
First Camp Gol - Hallingdal,Sleep,"campsite: Big full-service chain campsite at Heradvegen 189 (coordinates verified), 3 km EAST of the centre along the Rv7 (slight backtrack from your direction of travel). Tent pitches plus a large stock of cabins and apartments, on-site bistro, mini-market, jumping pillow, and the Hallingstampen outdoor pool with waterslide confirmed reopening for summer 2026 (renovated 2024). Summer weeks 27-32 have included family activities and a 'stay 3, pay for 2' promotion. The comfort option if you want a cabin night and a swim. [Tent pitch ~350-450 NOK (estimate); cabins from ~900-1,800 NOK in high season (book for exact rates, not published on site) | Cabins should be booked ahead for mid-July (Norwegian summer weeks 27-32 are peak); tent pitches are normally available but can be pre-booked with pitch selection on firstcamp.no. Contact gol@firstcamp.no / +47 32 07 41 44.]",60.69986,9.00517
Pers Hotell,Sleep,"hotel: Three-star family resort hotel right in the centre (Sentrumsvegen 72, coordinates verified). Not fancy but comfortable: pool/waterpark area, breakfast included (buffet gets consistently good reviews), secure bike storage on request, and Erik's Grill & Sportsbar plus the main restaurant downstairs for dinner. The realistic hotel night in Gol; the town has no hostel or DNT hut. [Double from roughly 1,600-2,500 NOK/night incl. breakfast in July (aggregators show from ~USD 159-260) | Book ahead for mid-July; Norwegian fellesferie (industrial holiday) starts around 10 July and Gol fills with family traffic.]",60.70057,8.94812
Haugastol Turistsenter cafe & restaurant,Eat & drink,"restaurant: The hub at the start of Rallarvegen and effectively the only food at Haugastol itself: coffee bar, restaurant and bike shop in one family-run complex by the station. Tripadvisor reviewers rate the food among the best they've had in Norway: fresh meat dishes, good salad/veg choices, praised pizza and a big spread of homemade cakes. Restaurant serves breakfast, lunch and dinner mid-June to mid-October; in the 1 July-9 August window breakfast is 08:00-10:00 and dinner is served daily at 19:00, Sundays included, so mid-July is fully covered. Dinner ~390 NOK, breakfast ~175 NOK (approximate; exact prices only shown in booking flow). [Dinner ~390 NOK, breakfast ~175 NOK (approximate)]",60.5124,7.8531
Joker Ustaoset,Resupply (groceries),"grocery: The resupply point. Haugastol has no grocery store, so this Joker at Ustaoset station (Ustaosvegen, by the rail line), 11 km east of Haugastol on your riding line from Geilo, is the last proper shop before Finse/Flam. Crucially it is open Sundays 11:00-18:00 (verified), which matters with 12 July 2026 falling on a Sunday: do not arrive before 11:00 expecting it open. Weekdays 10:00-18:00 (Fri to 20:00), Sat 09:00-18:00. Stocks daily groceries, propane, OTC medicines and local Hallingdal products. [Norwegian convenience-store prices (10-20% above Kiwi/Rema)]",60.4989,8.0422
Fagerheim Fjellstugu cafe,Eat & drink,"mountain_lodge: Staffed mountain lodge on Rv7 southwest of Haugastol (9 km direct, ~12 km by road) on the edge of Hardangervidda with views toward the Hardangerjokulen glacier. Cafe open 11:00-18:00 every day, year-round (confirmed on the lodge's own site and ut.no), plus a set three-course dinner served 19:00. A worthwhile detour ride for dinner if Haugastol's restaurant is full, or a meal stop if you camp on the plateau nearby. Note: no consuming your own food on the premises. [Three-course dinner included for overnight guests; cafe a la carte]",60.4396,7.7852
Oksebotn rallarcafe (vokterbolig),Eat & drink,"cafe: Historic 1913 railway guard's house ~19 km along Rallarvegen toward Finse (8 km before Finse), at ~1,150 m. Tiny privately run summer cafe famous for homemade hot waffles: longtime waffle-maker Eivind Haukvik turns out 120-150 waffle plates a day on busy weekends. Normally opens daily from mid-July (snow-dependent) until Norwegian school start, hours sporadic. Perfect mid-ride stop on your Haugastol-Finse leg, but with a mid-July trip you may arrive days before it opens for the season: carry food. [Waffles/coffee ~50-100 NOK]",60.5592,7.5969
Haugastol Turistsenter (apartments + mountain rooms),Sleep,"hotel: The obvious roof at Haugastol: modern 4-bed (Type A/B) and 8-bed (Type D) apartments with kitchens, plus two budget shared 'mountain rooms' (8 bed spaces total) for those happy to share. Restaurant, coffee bar, bike shop and Rallarvegen bike rental on site; full-service mode (reception + meals) through July, with half-board available as an add-on for mountain rooms. Note: sleeping bags are not permitted in the mountain rooms, bedding rents on arrival. [Rates shown only in booking flow; apartments roughly 1,500-2,500 NOK/unit, mountain room is the budget option. Dinner ~390 NOK, breakfast ~175 NOK | Mid-July is peak Rallarvegen season and this is the route's main start point: book weeks ahead via haugastol.no or +47 32 08 75 64.]",60.5124,7.8531
Fagerheim Fjellstugu,Sleep,"hostel: Family-run fjellstugu on Rv7, ~12 km by road southwest of Haugastol (a 30-40 min ride with loaded bikes, off the Rallarvegen line but an easy out-and-back). Dorm bed 850 NOK pp or double room 1,050 NOK pp, both including made bed, towels, breakfast AND a three-course dinner at 19:00: strong value for hungry riders versus Haugastol. DNT members get 5% off accommodation. Open year-round (verified on official site, including holidays), operational for 2026. [Dorm 850 NOK pp, double 1,050 NOK pp, half board included | Book ahead for mid-July. Cancellation: free more than 14 days out, 50% charge 8-14 days out, 100% charge within 7 days of arrival. Check-in 15:00-18:00 (call +47 922 58 498 if later). Note: no self-catering allowed at Fagerheim.]",60.4396,7.7852
Wild camp: open heath off Rv7 toward Fagerheim,Sleep,"freecamp: Open, treeless heath with lakes and streams on the Hardangervidda edge, ~4 km southwest of Haugastol beside Rv7 toward Fagerheim. Flat tent-friendly ground, water from lakes and streams, and legal under allemannsretten provided you stay 150 m+ from the scattered cabins (tents are explicitly not permitted in the cabin fields immediately around Haugastol and Finse). Critical caveat: do NOT camp along the first 13 km of Rallarvegen from Haugastol toward Finse or around Finse itself, that corridor is off-limits, so pitch south of Rv7, not on the cycle route. [Free | No booking; exposed at 1,000m+ so expect wind and possible single-digit temps even in July.]",60.483,7.826
Finsehytta cafe & restaurant (DNT),Eat & drink,"mountain_lodge: DNT's big staffed lodge on the south shore of Finsevatnet, 300m from the station. Daytime cafe does Norwegian waffles, cakes, pizza and lighter hot meals; evenings a proper 3-course dinner. Home of Finse 1223, Norway's highest microbrewery (in the cellar), with their own pilsner, pale ale and cider on tap. Open to non-residents, daily through the summer season; 2026 summer season opens 26 June, so fully open mid-July. Renovated and expanded in recent years. [Waffles/cake ~60-100 NOK, pizza ~200 NOK, 3-course dinner ~545 NOK (DNT price list dated 2023, expect modest increases)]",60.5979,7.507
Hotel Finse 1222 restaurant & bar,Eat & drink,"restaurant: Historic railway hotel right on the platform. Restaurant does locally sourced 3-course dinners (rotating set menu) with glacier views, plus a bar/lounge for a post-ride beer. Lunch (homemade pizza, reindeer burger, Rallarsuppe) is served daily but must be booked in advance. Open to non-residents. Summer season covers mid-July, and from 2026 the hotel runs year-round. [3-course dinner roughly 600-700 NOK; bar prices typical Norwegian mountain hotel]",60.6018,7.5031
Fagernut Vokterbolig cafe (Rallarvaffel stop),Eat & drink,"cafe: Stone track-watchman's cottage from 1904 at 1,310m, 9km west of Finse directly on Rallarvegen, run by the Navvy Museum. THE classic stop on the Finse-Myrdal leg: waffles, coffee and navvy soup. CAUTION on dates: opens daily 10:00-16:30 from roughly MID-July (exact date varies with snow clearing) until school start, then weekends to late September. On a 14-16 July ride it may have just opened or not yet; check the Rallarvegen report and do not rely on it for calories. Cash in NOK or Vipps; card not always accepted. [Waffle + coffee ~70-100 NOK]",60.6243,7.3766
No grocery store at Finse (resupply in Geilo),Resupply (groceries),"grocery: Finse has zero shops: no Kiwi/Joker/Coop, nothing. Last proper supermarkets before Finse are in Geilo (Kiwi, Spar, Coop Extra), with a small shop at Ustaoset and a kiosk at Haugastol Turistsenter. Buy stove food and snacks in Geilo, and remember 12 July 2026 is a Sunday when Geilo groceries are largely shut (small sondagsapen exceptions aside). The lodges at Finse sell some chocolate/snacks but nothing you could cook from. Next real shop after Finse is in Flam. [n/a]",60.5343,8.2062
Wild camp: south shore of Finsevatnet (across the dam),Sleep,"freecamp: The one sanctioned wild-camping zone at Finse. Camping is only allowed on the south shore of Finsevatnet because the lake is the settlement's drinking-water supply; signs at Finse mark where you can pitch. Cross the small dam at the lake outlet near Finsehytta and pick a grassy flat along the shore west of the hut, well away from cabins. Flat-ish, watery, exposed at 1,200m; expect mosquitoes in fine weather and possible snow patches even mid-July. Standard allemannsretten rules, max 2 nights. Bonus: walk back to Finsehytta for dinner and a Finse 1223 beer. [Free | No booking; arrive and pitch. Bring a 4-season-ish setup, nights can hit low single digits in July.]",60.5968,7.4975
Finsehytta (DNT staffed lodge),Sleep,"dnt_hut: Large staffed DNT lodge (sleeps 200+ including overflow mattresses), 300m from the station across the lake outlet. Bunk rooms and dorms, shared showers, drying room, and the full-board package includes breakfast, packed lunch and a 3-course dinner: ideal rider fuel. On-site microbrewery. The closest thing to a campsite-with-services Finse has; there is no official campsite in the village. 2026 summer season opens 26 June. [Full board (bed + breakfast + 3-course dinner + lunch + shower): dorm 1,060 NOK DNT member / 1,390 NOK non-member; rooms 1,200-1,275 / 1,580-1,660 NOK pp. Price list dated 2023, expect modest increases. | Book ahead for mid-July via hyttebestilling.dnt.no, Rallarvegen peak season. DNT members are never turned away even when full (mattress on the floor). A DNT membership pays for itself across a multi-hut trip.]",60.5979,7.507
Hotel Finse 1222,Sleep,"hotel: The historic ~44-room railway hotel on the platform (where parts of The Empire Strikes Back were filmed). Sauna, bike rental and workshop, drying facilities, restaurant and bar. The splurge option after days in a tent. Open through summer and going year-round from 2026. [Roughly 3,000-3,500 NOK per night for two including 3-course dinner, breakfast buffet and packed lunch (recent guests report ~USD 325/night packages). | Book well ahead for mid-July; it is the only hotel at Finse and fills with Rallarvegen cyclists and hikers.]",60.6018,7.5031
Flam Bakeri,Eat & drink,"bakery: Artisan bakery on the quay, steps from the Flamsbana station. Fresh skillingsboller (Norwegian cinnamon buns), bread baked through the day, sandwiches, pastries and Italian-style pizzas. Open every day year-round 08:00-17:00, so it works even on a Sunday. The obvious first stop after rolling off the Rallarvegen descent. [Buns ~NOK 45-60, sandwiches ~NOK 100-150]",60.8628,7.1128
"Aegir Gastropub (Flamsbrygga, formerly Aegir BrewPub)",Eat & drink,"pub: Stave-church-styled brewpub on the harbourfront, long-running Tripadvisor #1 in Flam and multiple-time Norway BrewPub of the Year. The Jan 2026 renovation is complete: it reopened rebranded as Aegir Gastropub, one of three dining concepts at Flamsbrygga (alongside Fjord Bistro and Flam Restaurant). Viking-inspired menu with local beer pairings (the Viking Plank concept). Confirmed operating through summer 2026. Book a table in July. [Mains ~NOK 250-400, Viking Plank/beer-pairing menu ~NOK 600+]",60.8636,7.114
Restaurant Arven (Fretheim Hotel),Eat & drink,"restaurant: The dining room of the historic Fretheim Hotel, 2nd floor: locally sourced fjord and farm ingredients, modern Norwegian cooking. High-season (May-Sept) evening buffet with fish, shellfish, local meats and desserts, around NOK 695 per person in recent reviews (expect a modest increase for 2026). The best 'proper' dinner in the village if you want to celebrate finishing the route. Reserve ahead in mid-July. [Dinner buffet ~NOK 695 pp (recent seasons)]",60.8612,7.113
Fjord Bistro (formerly Furukroa Kafe),Eat & drink,"cafe: Casual bistro-cafe in the harbour courtyard at Flamsbrygga, rebranded from Furukroa Kafe in the 2026 renovation. Lunch, dinner, barista coffee and cakes through the day; menu has included the Flam Burger, Aegir-beer-battered fish and chips, soup and pizzas, plus a summer ice cream counter. Big harbour-view terrace. The cheap-and-fast option when the bakery queue is long; busiest when cruise ships and trains coincide. Showing FIFA World Cup 2026 matches, so confirmed open in summer 2026. [Mains ~NOK 150-250]",60.8634,7.1137
Coop Marked Flam,Resupply (groceries),"grocery: The village grocery and your resupply point (chain: Coop). A-Feltvegen 18, near the cruise pier and train station, between the playground and the parking lot. Open Mon-Fri 08:00-20:00, Sat 09:00-18:00, and crucially Sun 12:00-18:00 (small-store exemption), one of the few Sunday-open groceries on the whole route. Stocks camping supplies. No alcohol sales on Sundays. [Standard Norwegian grocery prices]",60.864,7.116
Flamselvi river flats below Berekvam (wild camp),Sleep,"freecamp: Don't wild camp in Flam itself: the valley floor around the village is farmland and built-up, and locals confirm camping around the village is not tolerated. Instead, stop short on your descent from Myrdal: grassy and gravel flats beside the Flamselvi around Berekvam (the Flamsbana passing-loop station, 343.8m, ~10.5km from Myrdal). This mid-valley stretch is uncultivated gorge between the farms at Kardal above and Hareina below, right on the Rallarvegen road. Keep 150m+ from the station buildings and any cabin, max two nights, leave no trace. Free under allemannsretten. [Free | No booking. Pitch late, leave early; the spot is beside the cycle road so expect passing riders in daytime.]",60.7895,7.0965
Flam Camping & Hostel,Sleep,"campsite: Award-winning family-run campsite and HI hostel ~300m from the station, right where the Rallarvegen rolls into the village. ~80 tent pitches on terraced grass (some sheltered, power available, picnic tables and grills), hostel rooms, and cabins with and without bathroom; new sanitary block and kitchen completing for the 2026 season. Explicitly welcomes bikers and hikers; camp kitchen and laundry on site. This is the default bikepacker stop in Flam. [Tent NOK 400/night; hostel rooms from NOK 990 (shared bath) to NOK 1,200 (private); cabins from NOK 1,030 (2BR w/ bath NOK 2,800) | Mid-July is peak season in one of Norway's busiest tourist villages: book hostel rooms and cabins several weeks ahead. Tent pitches are more flexible but arrive by mid-afternoon.]",60.8597,7.1167
Fretheim Hotel,Sleep,"hotel: The historic 122-room hotel at the head of the fjord, in business since the 1800s. Not cheap, but the end-of-trip splurge option: fjord-view rooms, big breakfast, Restaurant Arven upstairs, and secure bike storage on request. Recent guests report around NOK 2,800/night for a double; aggregator rates for peak season run higher, roughly USD 340-500. [~NOK 2,800-4,500/night double in July | Book well ahead for mid-July; Flam sells out when cruise and tour traffic peaks.]",60.8612,7.113
Trygstad Bakeri og Konditori,Eat & drink,"bakery: The classic Roros bakery at Kjerkgata 12, baking since 1906 (not 1948 as often misquoted; official site: 'siden 1906'). Famous for skoleboller and solboller; ideal pre-departure carb load and pastries to pack for the first leg toward Gradalen. Open Mon-Fri 08:30-17:00, Sat 09:00-16:00, and (unusually for Norway) Sunday 11:30-16:30 thanks to Roros' tourist-town status. [30-60 NOK per pastry]",62.5753,11.3851
Kaffestuggu,Eat & drink,"cafe: Roros' oldest eating house (Bergmannsgata 18), cafe-restaurant doing local produce with a modern twist: open sandwiches, sodd, reindeer dishes, good cakes and coffee. Open daily including Sundays (Mon-Wed and Sun 11:00-18:00, Thu-Sat 11:00-23:00). Reliable lunch or early dinner. [Mains ~200-350 NOK]",62.5752,11.386
Vertshuset Roros,Eat & drink,"restaurant: The best dinner in town: historic inn at Kjerkgata 34 serving regional Roros food (reindeer, local lamb, Rorosmeieriet dairy). Restaurant open Tue 17:00-23:00, Wed-Sat 12:00-16:00 and 17:00-23:00 (kitchen closes 21:30). Closed Sun-Mon, so fine for a Wed/Thu start night. Hours and operation confirmed on the official Roroshotellene page; booking engine live for summer 2026. [Mains ~300-450 NOK]",62.5763,11.3867
Skanckebua,Eat & drink,"pub: Gastropub mid-way up Kjerkgata, run by Bergstadens Hotel, with an upstairs bar overlooking the street. Local meat and fish, burgers (the reindeer burger is a top seller), fish and chips, tacos; no pizza. Open Tue-Thu 12:00-23:00, Fri-Sat 12:00-02:00 (kitchen to 22:00); closed Sun-Mon, so time your pint for Tue-Sat. Confirmed operating via Bergstadens Hotel and Visit Roros. [Mains ~200-450 NOK]",62.5759,11.3862
Extra Roros (Coop),Resupply (groceries),"grocery: Main supermarket for resupply, Coop Extra at Havsjoveien 3 on the southern edge of town, on the way out toward the route. Long hours: Mon-Sat 07:00-23:00 and Sun 10:00-23:00 (Roros holds a tourist-place Sunday-trading exemption; Sunday opening confirmed by two listing services). Stock up here: limited resupply until Alvdal at km 163. [Standard Norwegian supermarket prices]",62.5665,11.3751
Hittersjoen northeast tip (wild camp),Sleep,"freecamp: Shoreline at the far northeast tip of Hittersjoen lake, ~2.7 km NE of the town centre: follow Fv31 Brekkveien out of town along the north side of the lake, then lakeside tracks/paths (Borta Sjoa, Malmveien) to the NE end. Flat pine-heath pitches, swimmable lake. This spot is 300m+ from the nearest mapped building; note the east and south shores nearer town are lined with cabins (Sjohaga'an) and a farm (Strommevollen) sits NE of the lake, so do not pitch there. Legal under allemannsretten on uncultivated land, max 2 nights. No facilities; fill water in town. Do not pitch inside the UNESCO town itself. [Free | No booking; allemannsretten rules apply (150m from inhabited houses, leave no trace).]",62.5904,11.4261
Roros Camping Moen (ex Haneset Camping),Sleep,"campsite: The town campsite at Havsjoveien 131, ~2 km southwest of the centre by the Glomma river. Tent pitches plus cabins and motel rooms: basic 4-person cabins from 660 NOK, small 2-person cabins 900-1100 NOK, larger serviced cabins with shower/WC 1190-1680 NOK, single motel room 560 NOK, motel family room 800 NOK (all confirmed on the official site). Reception 09-22, online booking on their site. [Tent pitch 380-500 NOK; cabins 660-1680 NOK | Tent pitches are normally walk-up fine; book cabins ahead for mid-July, Roros is a busy UNESCO destination in summer.]",62.5677,11.3516
Rorosvidda Hotell (ex Idrettsparken),Sleep,"hotel: The budget hotel option, formerly Idrettsparken Hotell (rebrand confirmed by local press and an active 2026 Booking.com listing), at Ora 25, a 4-minute walk from the historic centre and ~500m from the station. Simple rooms with private or shared bath, breakfast typically included, free parking and secure spot for bikes on request. Roughly 1000-1400 NOK per double depending on room type and date (aggregators show from ~$104-132). [~1000-1400 NOK/double | Book 2-4 weeks ahead for mid-July; small property and Roros fills up in summer.]",62.5708,11.381
Vertshuset Roros (rooms),Sleep,"hotel: Step-up option if you want one comfortable night before 705 km of gravel: historic inn rooms above the best restaurant in town, Kjerkgata 34, breakfast included (served Wed-Sun 07:30-10:00). Part of the Roroshotellene group; booking engine live for summer 2026. [~1600-2200 NOK/double | Book ahead for mid-July; it is the most sought-after address in the historic centre.]",62.5763,11.3867
Ellefsplass provisions room (DNT matlager),Eat & drink,"mountain_lodge: The hut itself is dinner: self-service DNT cabin with a stocked provisions room (tinned/dried meals, breakfast staples) plus full kitchen, electricity and running water. No staffed meals or meal times; you cook, then register and pay food in the DNT app. Open 1 Jun-10 Sep, so mid-July is fine. Non-guests may buy food without paying the day-visit fee (confirmed in the 2026 price list: payment only required if you also use the common room or kitchen). [Pantry items at DNT list prices, pay in app]",62.20446,11.44822
Naerbutikken Tufsingdal (Mauritz Landhandel),Resupply (groceries),"grocery: The resupply for this leg, on the route in Tufsingdal village roughly 20-25 km before Ellefsplass. Address Kopparleden 6075, 2555 Tufsingdalen, phone +47 477 00 083. Chain: Naerbutikken (NorgesGruppen), run by Mauritz Landhandel AS (org 920 776 213, active). Listed access 06:00-20:00 daily (Fri to 22:00) including Sundays via self-service/partially remote-operated shopping; staffed hours are shorter, and the self-checkout may want a Norwegian payment app, so aim for daytime. Also does parcel and medicine pickup. Last shop before the empty Orvdalen-Storlagda-Rendalen stretch. [Normal rural grocery prices]",62.28638,11.73528
Jonasvollen Camping kiosk (Femundsenden),Eat & drink,"cafe: Lakeside kiosk at the south end of Lake Femunden, departure point for the MS Faemund II boat. Kiosk sales, fishing licences, boat hire and marina. Only worth it as a roughly 9-12 km detour east/southeast from Tufsingdal village for a snack stop and a look at Femunden; it is the only place resembling a cafe anywhere near this leg. The site itself is open year-round per jonasvollen.no, but kiosk hours vary, so call +47 414 03 216 or +47 62 49 89 94 before detouring. [Kiosk prices]",62.232,11.874
DNT Ellefsplass (self-service cabin),Sleep,"dnt_hut: The stop itself: a converted farmhouse run by DNT Oslo og Omegn in Oversjodalen (Tolga municipality) with 8 beds, electricity, running water and a full bathroom on the ground floor, unusually plush for a self-service hut. Open 1 Jun-10 Sep annually (confirmed on ut.no). Bedding base provided, bring a sheet liner. [NOK 340 member / 520 non-member (2026 price list, confirmed) | Book ahead for mid-July: only 6 of 8 beds are pre-bookable on hyttebestilling.dnt.no (cabin id 10831), the other 2 are drop-in. Booked beds are released if you have not arrived by 19:00. Pay via DNT app. With 8 beds a booking is cheap insurance even if drop-in usually works on a Thursday.]",62.20446,11.44822
"Wild camp, south shore of Oversjoen tarn",Sleep,"freecamp: Open heath and pine ground on the south/east shore of the Oversjoen tarn (Kartverket: tjern at 62.2279, 11.4854, Tolga), right beside the road you ride into Oversjodalen from Tufsingdalen, about 3 km northeast of Ellefsplass. Utmark, roughly 800 m from the nearest farm (Oversjoen gard at 62.2344, 11.4831), so comfortably legal under allemannsretten (150 m rule). Lake water for filtering, good swimming. Alternative: pitch beside the hut itself, but the 2026 DNT price list explicitly says campers using the cabin after 18:00 pay full lodging. [Free | No booking. Standard allemannsretten rules: max 2 nights, leave no trace, no open fire 15 Apr-15 Sep.]",62.227,11.4868
"Lillemoen holiday house, Oversjodalen",Sleep,"cabin: Fully renovated small farmhouse in the village, about 1 km east of Ellefsplass. Sleeps 5 (two double bedrooms plus a single loft bed), washing machine, dishwasher, full kitchen. Active Airbnb listing ('Lillemoen - Great Nature', Tolga), also promoted on visitnorway.com and roros.no. The comfortable fallback if the DNT hut is full or you want a proper indoor night. [Whole house, rate on Airbnb (not published; expect typical Norwegian whole-cabin pricing well above the DNT hut) | Book on Airbnb in advance; whole-house listings in this area go early for July.]",62.20909,11.46552
Jonasvollen Camping,Sleep,"campsite: The nearest official campsite: caravan pitches, tent space and camping cabins at Femundsenden, the south tip of Lake Femunden, with marina, boat hire and kiosk. Open year-round per jonasvollen.no. Off-route, roughly 9-12 km east of Tufsingdal village (so about 25-30 km before Ellefsplass); only makes sense if you want a shorter day 1 and a lakeside night on Femunden rather than pushing to the hut. [Tent pitch price not published; small Norwegian sites typically NOK 150-300. Phone +47 414 03 216 / +47 62 49 89 94 (Kjell Magne) or +47 476 41 937 (Nina Alice) | No advance booking needed for a tent in mid-July; call ahead for a cabin.]",62.232,11.874
